survey_number;id_final;time;Q1;Q2;Q3;Q17;Q18;Q67;Q68;Q69;Q70;Q71;Q72;Q73;Q74;Q75;Q76;Q77;Q78;Q79;Q80
3;284;08/10/22 08:11 PM;Diminue beaucoup;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;23;Féminin;1;France;France ;7;Licence (bac+3);Sans emploi;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Non;LPO
3;285;08/10/22 10:02 PM;Diminue beaucoup;Oui, tout à fait d'accord;Parce que les activités humaines impactent directement ou indirectement tous les écosystèmes;Oui, tout à fait d'accord;Pour toutes leurs fonctions dans les écosystèmes (Pollinisation, régulation, détritivore);53;Masculin;2;France;France;6;Licence (bac+3);Sans emploi;Ne se prononce pas;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;LPO
3;286;08/11/22 12:10 AM;Diminue beaucoup;Oui, tout à fait d'accord;le droit à la vie tout simplement, les multiples services rendus, notre survie;Oui, tout à fait d'accord;roles de polinisateur, decomposeur, auxiliaire des cultures, base du réseau trophique...;63;Féminin;2;France ;France ;6;Doctorat (bac+8);Retraité;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;287;08/11/22 08:39 AM;Diminue un peu;Oui, tout à fait d'accord;Parce qu'il y a une extinction de masse et la disparition d'espèces même si de nouvelles espèces apparaissent;Oui, tout à fait d'accord;Parce que les produits phytosanitaires, l'urbanisme et l'ensemble des activités humaines les éliminent créant des déséquilibres dans les réseaux trophiques car ils sont à la base de l'alimentation de nombreuses espèces et et d'interactions dans l'écosystème.;22;Masculin;3;france;france;5;Master (bac+5);Etudiant;Complètement à gauche;Oui, indirectement;Non;Oui;Non;
3;288;08/11/22 09:44 AM;Diminue beaucoup;Oui, tout à fait d'accord;Il serait temps de s’intéresser à notre environnement et d'en prendre soin ;Oui, tout à fait d'accord;Le rôle des insectes est peu connu mais indispensable au bon fonctionnement des écosystèmes;23;Féminin;3;France;France;6;Licence (bac+3);Etudiant;Plutôt de gauche;Oui, directement;Non;Oui;Non;
3;289;08/11/22 10:00 AM;Diminue beaucoup;Oui, tout à fait d'accord;Nous sommes une des principales causes de la perte de biodiversité, elle doit alors être protégé des humains;Oui, tout à fait d'accord;;23;Féminin;3;France;France;5;Licence (bac+3);Etudiant;Ne se prononce pas;Oui, directement;Non;Oui;Non;
3;290;08/11/22 10:50 AM;Diminue beaucoup;Oui, tout à fait d'accord;6ème crise d'extinction de la biodiversité en cours à cause de l'homme;Oui, tout à fait d'accord;Essentiels à la vie sur Terre;21;Masculin;1;France;France;6;Licence (bac+3);Etudiant;Complètement à gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;ANA CEN Ariège
3;291;08/11/22 12:44 PM;Diminue beaucoup;Oui, d'accord;;Oui, d'accord;;21;Masculin;1;France ;France ;6;Licence (bac+3);Etudiant;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;Ligue pour la Protection des Oiseaux, FERUS
3;292;08/11/22 01:08 PM;Diminue beaucoup;Oui, tout à fait d'accord;C est notre futur qui est mis en danger si on ne fait rien pour protéger notre environnement ;Oui, tout à fait d'accord;Les insectes font partie de ceux qui ont pour rôle de polliniser, de nettoyer la planète, et c est un élément important pour la chaîne alimentaire.;19;Féminin;1;France ;France;5;Bac;Etudiant;Plutôt de gauche;Oui, directement;Je ne suis pas entomologiste mais je cherche a le devenir ;Oui;Oui;
3;293;08/11/22 01:43 PM;Diminue beaucoup;Oui, tout à fait d'accord;"L'humanité ne se rend pas compte ou préfère oublier que cela cause des dégâts sur les habitats comme les zones humides au profit de sols cultivés. On prend tout et on ne laisse rien pour la Nature et au futurs enfants. 
Des animaux souffrent et des plantes aussi mais l'Homme s'enfiche tant qu'il a son confort.";Oui, tout à fait d'accord;;23;Féminin;1;France;France;6;Licence (bac+3);Etudiant;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;294;08/11/22 02:10 PM;Diminue beaucoup;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;25;Féminin;1;France;France;6;Licence (bac+3);Sans emploi;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;295;08/11/22 02:25 PM;Diminue beaucoup;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;18;Féminin;2;FRANCE;FRANCE;7;Bac;Etudiant;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;296;08/11/22 02:29 PM;Diminue beaucoup;Oui, tout à fait d'accord;Les différentes composantes de la nature, végétales, animales et même eau et terre, sont interdépendantes dans un équilibre qui s'est mis en place sur des millions  d'années.  En affectant gravement une des composantes, on crée  un déséquilibre qui affecte profondément  et durablement  l'ensemble. On ne peut penser l'humanité  que comme une autre composante qui interagit avec les autres en.les respectant.;Oui, tout à fait d'accord;Ils sont à  la base de la chaîne  alimentaire de nombreuses espèces et participent à la polennisation et à  l'enrichissement de l'humus.;56;Masculin;4;France ;France ;5;Master (bac+5);En activité;Plutôt de droite;Non;Non;Oui;Non;
3;297;08/11/22 04:41 PM;Diminue beaucoup;Oui, tout à fait d'accord;L'humain a un fort impact négatif sur la biodiversite, il faut bien essayer de la protéger au mieux ;Oui, tout à fait d'accord;Maillon essentiel des chaînes alimentaires et tout simplement de quel droit on s'autorise à nuire des animaux tels quils soient ;22;Féminin;5;Bretagne ;Vagabonde ;6;Licence (bac+3);Sans emploi;Plutôt de gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;
3;298;08/11/22 04:58 PM;Diminue beaucoup;Oui, tout à fait d'accord;Car les être-vivants sont tous lié les uns aux autre par des mécanismes biologiques. Une biodiversité riche signifie une cohabitation inter-espèces. L'espèce humaine étant responsable de la diminution de la biodiversité, il nous incombe de retrouver un respect pour le vivant sous toutes ses formes. Dans notre intérêt et dans le soucis de l'intérêt général. ;Oui, tout à fait d'accord;"Les insectes sont des êtres vivants
";29;Masculin;2;France ;France ;7;Licence (bac+3);En activité;Complètement à gauche;Oui, indirectement;Oui, mais pas entomologiste;Non;Non;
3;299;08/11/22 07:40 PM;Diminue beaucoup;Oui, tout à fait d'accord;Déclin massif de toutes les espèces et disparition/destruction des habitats ;Oui, tout à fait d'accord;Ils ont partis des espèces peu connues et difficile à vouloir protéger car peu visible et peu attrayantes pour l'homme ;24;Féminin;2;France ;France ;7;Master (bac+5);En activité;Ne se prononce pas;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;Bretagne vivante, LPO, Atena78
3;300;08/11/22 08:06 PM;Diminue un peu;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;24;Masculin;3;France;France;7;Licence (bac+3);En activité;Complètement à droite;Oui, directement;Oui, mais pas entomologiste;Oui;Non;
3;301;08/11/22 08:39 PM;Diminue beaucoup;Oui, tout à fait d'accord;C’est la base de l’équilibre naturel ;Oui, tout à fait d'accord;Pollinisation, recyclage des déchets;22;Féminin;4;France;France;7;Bac;Etudiant;Centre;Oui, directement;Non;Oui;Oui;
3;302;08/11/22 09:44 PM;Diminue beaucoup;Oui, tout à fait d'accord;Trop de pollution, changement de climat trop brusque, transformation des écosystème ;Oui, d'accord;Essentiel notamment la pedofaune;20;Je ne souhaite pas le préciser;1;France;France;7;Bac;Etudiant;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Non;Non;
3;303;08/11/22 11:33 PM;Diminue beaucoup;Oui, d'accord;Je vis dans le monde rural depuis mon plus jeune age, même si des espèces tendent à revenir le bilan reste très négatif et la biodiversité se réduit de plus en plus.;Oui, tout à fait d'accord;L'évaluation des populations d'insectes et l'évaluation de leur abondance sur un milieu est très difficile. On sait que les insectes sont très sencible aux modifications de milieux. Par sécuritée il serait bon d'en proteger un maximum car leur disparition est difficilement prévisible;21;Masculin;1;France;France;6;Bac;Etudiant;Complètement à gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;Fédération Aude Claire, Groupe Chiroptère du Languedoc, Opie
3;304;08/12/22 08:58 AM;Diminue beaucoup;Oui, tout à fait d'accord;La diversité est la base de tout ;Oui, tout à fait d'accord;Agent de la biodiversité;22;Féminin;1;France;France;5;Licence (bac+3);Alternant;Plutôt de gauche;Oui, indirectement;Oui, mais pas entomologiste;Oui;Non;
3;305;08/12/22 09:22 AM;Diminue beaucoup;Oui, tout à fait d'accord;Pour éviter des extinctions d’espèces ;Oui, tout à fait d'accord;Ils sont polinisateurs et permettent également de réguler d’autres espèces (araignée qui mange des moustiques par exemple);26;Féminin;2;France;France;6;Master (bac+5);Doctorante;Plutôt de gauche;Oui, indirectement;Oui, mais pas entomologiste;Non;Non;
3;306;08/12/22 09:26 AM;Diminue beaucoup;Oui, tout à fait d'accord;Je pense que l'Homme ne doit pas avoir un regard anthropocentré mais écocentré, pour continuer à partager les ressources de la planète;Oui, tout à fait d'accord;;24;Féminin;1;France;France;6;Licence (bac+3);Etudiant;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;307;08/12/22 11:35 AM;Diminue beaucoup;Oui, tout à fait d'accord;L’Homme est responsable de la 6 eme extinction de masse, la lutte contre l’érosion de la biodiversité doit permettre de sauvegarder les espèces en danger d’extinction. Une des solutions est aussi d’intervenir dans la gestion de certains sites pour permettre de maintenir les conditions de vie nécessaires au espèces présentes ;Oui, tout à fait d'accord;La chute de la biomasse d'insecte , la sur-utilisation de pesticides, la fragmentation des habitats;23;Masculin;1;France;France;6;Licence (bac+3);En activité;Ne se prononce pas;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;Nature 18 - LPO
3;308;08/12/22 03:48 PM;Diminue un peu;Oui, tout à fait d'accord;Elle doit être protéger dans la mesure où c'est l'activité humaine qui la fait baisser, si c'était des évènements purement naturel je pense qu'il faudrait laisser les choses se faire. Mais actuellement on sait que les changement sont du pour la plupart aux activités humaines.;Oui, tout à fait d'accord;Les insectes jouent des rôles primordiaux : pollinisation, fabrication des sols, sources de nourriture pour des plantes/animaux ;23;Féminin;2;France;France;5;Licence (bac+3);Etudiant;Ne se prononce pas;Oui, directement;Non;Oui;Oui;
3;309;08/12/22 04:24 PM;Diminue beaucoup;Oui, tout à fait d'accord;Pourquoi maintenir les espèces et la diversité spécifique de la planète;Oui, tout à fait d'accord;Interdépendance des espèces;22;Féminin;5;France;France;7;Licence (bac+3);Etudiant;Complètement à gauche;Oui, indirectement;Non;Non;Non;
3;310;08/12/22 04:32 PM;Diminue beaucoup;Oui, tout à fait d'accord;Au titre de la protection du vivant, dont d'ailleurs notre survie dépend. ;Oui, tout à fait d'accord;Ils sont un maillon essentielle à la chaîne alimentaire et des pollinisateurs ;24;Masculin;2;France;France;6;Licence (bac+3);Etudiant;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;LPO 
3;311;08/12/22 05:53 PM;Diminue beaucoup;Oui, tout à fait d'accord;Parce que si nous faisons rien le risque est plus grand ;Oui, tout à fait d'accord;Car ce sont les principales pollenisateur, et les premiers dans la chaîne alimentaire sans eux le monde ne marche plus ;19;Féminin;2;France;France;7;Bac;Etudiant;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Non;
3;312;08/12/22 05:54 PM;Diminue beaucoup;Oui, tout à fait d'accord;Question de patrimoine + services écosystémiques;Oui, tout à fait d'accord;Patrimoine, pollinisation, dégradation de la matière organique...;22;Féminin;4;France;France;5;Licence (bac+3);Etudiant;Plutôt de gauche;Oui, indirectement;Prof de SVT et naturaliste très très amateure;Non;Non;
3;313;08/12/22 07:49 PM;Diminue beaucoup;Oui, d'accord;"Chaque espèce est importante dans un écosystème. Sa disparition d'impacte pas seulement l'espèce en elle-même mais également les autres espèces avec lesquelles elle entre en relation (chaîne trophique etc.) et donc dérégler l'écosystème dans sa globalité. Or, les écosystèmes assurent des services importants pour l'homme (ressources, divertissements...) d'où l'intérêt de les protéger (on peut aussi penser que chaque espèce a le droit d'exister si l'on prend une approche moins anthropocentrée).
Cependant, la Terre a connu et connaîtra de nouveau des extinctions et des émergences d'espèces. Il est donc insensé de penser pouvoir préserver les écosystèmes tels qu'ils sont actuellement pour l'éternité.";Oui, tout à fait d'accord;Les insectes sont essentiels à la politisation de nombreuses plantes, rendent la terre plus apte au développement des plantes et participent à la décomposition de la matière vivante morte.;23;Masculin;3;France;France;5;Licence (bac+3);Etudiant;Centre;Oui, indirectement;Non;Non;Non;
3;314;8/13/2022 14:30:15;Diminue beaucoup;Oui, tout à fait d'accord;Parce que beaucoup ne s'en préoccupent pas !;Oui, tout à fait d'accord;Destruction de leur habitat, sensibles aux facteurs pedoclimatiques ;23;Féminin;4;Brésil (origine française);France;7;Licence (bac+3);Etudiant;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;CEN
3;315;8/14/2022 16:08:24;Diminue beaucoup;Oui, tout à fait d'accord;Pour protéger le vivant sous ses multiples forme par amour du vivant et pour permettre aux humains de pouvoir vivre;Oui, tout à fait d'accord;Pour prendre soin du vivant et parceque je dépends des insectes pour vivre ;24;Féminin;2;France ;France ;7;Licence (bac+3);Sans emploi;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Non;
3;316;8/14/2022 16:26:53;Diminue beaucoup;Oui, d'accord;Car certains programmes de réintroduction d'espèces ont déjà fait leurs preuves, avec l'intervention humaine on peut toujours retarder la pullulation d'espèces envahissantes, la disparition d'espèces en danger critique.;Oui, d'accord;Les insectes aussi sont perturbé par les activités humaines (pollution lumineuse etc..) donc certaines mesures de protection peuvent être en leurs faveur ;22;Féminin;5;France;France ;6;Licence (bac+3);Etudiant;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;Sauvons nos coteaux (Ludres), Atelier vert (Rosière), Avancée nature (Saint-Laurent)
3;317;8/18/2022 23:27:28;Diminue beaucoup;Oui, tout à fait d'accord;Car nous faisons partie du tissu du vivant. La vie mérite d’être protégée, des millions d’années d’évolution ne peuvent être balayées indifféremment.;Oui, tout à fait d'accord;Car ils méritent tout simplement comme tous les etres vivants qui peuplent notre planète. Nul besoin de le justifier davantage.;32;Masculin;1;France;France ;7;;En activité;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Non;Non;
3;318;8/19/2022 16:59:22;Diminue beaucoup;Oui, tout à fait d'accord;Voir rapport IPBES sur les causes d'effondrement de la biodiversité;Oui, tout à fait d'accord;pollinisation / nourriture pour les oiseaux et autres taxons;42;Féminin;1;France;France;6;Master (bac+5);En activité;Ne se prononce pas;Oui, directement;Non;Oui;Non;LPO
3;319;8/25/2022 0:45:07;Diminue beaucoup;Oui, tout à fait d'accord;A cause du changement climatique et des pollutions;Oui, tout à fait d'accord;Tout est relié.  Le fonctionnement des écosystèmes peut changer suivant la disparition de certains insectes;63;Féminin;3;France;France;4;Brevet;Retraité;Plutôt de gauche;Oui, indirectement;Non;Ne se prononce pas;Ne se prononce pas;
3;320;8/25/2022 10:04:23;Diminue beaucoup;Oui, tout à fait d'accord;Chaque espèce a son importance dans l'environnement et face à l'activité humaine de plus en plus invasive qui dérègle l'équilibre la biodiversité est menacée car elle ne peut pas faire face aussi vite ;Oui, tout à fait d'accord;Ils sont la base de nombreuses chaîne alimentaire, de la pollinisation et sont des êtres vivants comme les autres ;29;Féminin;1;France ;France ;6;Licence (bac+3);En activité;Plutôt de gauche;Non;Oui, mais pas entomologiste;Oui;Oui;
3;321;8/25/2022 10:04:41;Diminue un peu;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;44;Féminin;4;France;France ;5;Master (bac+5);En activité;Complètement à gauche;Oui, indirectement;Non;Oui;Non;
3;322;8/25/2022 10:05:09;Diminue un peu;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;16;Masculin;3;France ;France ;5;Brevet;Etudiant;Ne se prononce pas;;Non;Oui;Non;Lpo
3;323;8/25/2022 10:06:59;Diminue beaucoup;Oui, d'accord;;Oui, tout à fait d'accord;;60;Féminin;4;france;France;5;Bac;En activité;Plutôt de gauche;Non;Non;Oui;Non;
3;324;8/25/2022 10:09:38;Diminue un peu;Oui, tout à fait d'accord;Sans biodiversite les êtres vivants ne pourraient pas evoluer;Oui, tout à fait d'accord;;20;Féminin;2;France;France;7;Bac;Etudiant;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;325;8/25/2022 10:10:16;Diminue beaucoup;Oui, tout à fait d'accord;Parce qu'un monde peuplé que de chiens et de chats serait atroce !;Oui, tout à fait d'accord;Ils pollinisent,nettoient, dispersent....;48;Féminin;1;France ;France ;7;Licence (bac+3);En activité;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;ASPAS LPO WWF
3;326;8/25/2022 10:11:12;Diminue beaucoup;Oui, tout à fait d'accord;Pour notre avenir collectif, perte des espèces animales et végétales ;Oui, tout à fait d'accord;Certains sont des pollinisateurs, d'autres nourrissent les oiseaux et afin d'autres régulent nos forêts ;45;Féminin;1;France ;France ;4;Licence (bac+3);En activité;Plutôt de gauche;Non;Non;Oui;Non;
3;327;8/25/2022 10:13:06;Diminue beaucoup;Oui, tout à fait d'accord;Par respect pour la planète ;Oui, tout à fait d'accord;Ils font partie du vivant, de la chaîne alimentaire, ils renouvellent le sol, polinisent les fleurs ...;42;Féminin;4;France ;France ;6;Master (bac+5);En activité;Plutôt de gauche;Non;Non;Oui;Non;
3;328;8/25/2022 10:14:09;Diminue un peu;Oui, d'accord;;Oui, tout à fait d'accord;;25;Féminin;4;France;France;5;Licence (bac+3);En activité;Complètement à gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;329;8/25/2022 10:15:33;Diminue beaucoup;Oui, tout à fait d'accord;La biodiversité, c'est l'équilibre, l'essence de notre planète. Protéger la planète, c'est protéger les espèces qui l'habitent, leurs habitats. ;Oui, tout à fait d'accord;la chaîne alimentaire. ;34;Féminin;3;France;France;7;Master (bac+5);En activité;Complètement à gauche;Oui, indirectement;Oui, mais pas entomologiste;Oui;Oui;GON (groupe Ornitho et naturaliste des HDF)
3;330;8/25/2022 10:17:10;Diminue beaucoup;Oui, tout à fait d'accord;L Homme détruit et ne tient pas assez compte de son environnement ;Oui, tout à fait d'accord;Par leur taille, les gens ne pensent pas qu ils aient besoin d être protégé ;37;Féminin;3;France;France;4;Licence (bac+3);En activité;Centre;Non;Non;Oui;Oui;
3;331;8/25/2022 10:18:29;Diminue beaucoup;Oui, tout à fait d'accord;Car ce sont des espèces naturel magnifique et nécessaire à notre propre survie ;Oui, tout à fait d'accord;Car ils sont a la base des régimes alimentaires de beaucoup d'espèces, beaucoup sont des nettoyeur ou des fouisseur ce qui enrichit énormément les sols;23;Masculin;2;France ;France ;5;Licence (bac+3);Sans emploi;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Oui;
3;332;8/25/2022 10:22:31;Diminue beaucoup;Oui, tout à fait d'accord;Parce que c'est tout un écosystème nécessaire et qui se regule par la biodiversité : chacun à sa place et est la nourriture d'un autre.;Oui, tout à fait d'accord;Pour l'équilibre des espèces, l'alimentation de certains animaux (hérissons, crapauds...), la pollenisation des cultures...;53;Féminin;5;France ;France ;6;Master (bac+5);Invalide ;Ne se prononce pas;Non;Non;Oui;Non;Greenpeace 
3;333;8/25/2022 10:24:47;Diminue beaucoup;Oui, tout à fait d'accord;La protection de ressources naturelles et l’équilibre de la nature;Oui, tout à fait d'accord;;28;Féminin;3;France;France;4;Master (bac+5);En activité;Complètement à gauche;Non;Non;Oui;Non;
3;334;8/25/2022 10:26:43;Diminue beaucoup;Oui, tout à fait d'accord;L’impact néfaste de l’homme est trop fort pour une régulation correcte de la biodiversité ;Oui, tout à fait d'accord;Usage des insecticides généralisés. Raréfaction de leur habitat (béton);49;Féminin;4;France;France;7;Licence (bac+3);En activité;Complètement à gauche;Non;Non;Oui;Oui;Lpo 
3;335;8/25/2022 10:31:53;Diminue beaucoup;Oui, tout à fait d'accord;;Oui, d'accord;;23;Féminin;2;France;France;5;Master (bac+5);Etudiant;Plutôt de gauche;Oui, indirectement;Photographe animalier;Oui;Oui;
3;336;8/25/2022 10:31:55;Diminue beaucoup;Oui, tout à fait d'accord;Tout est lié, l'ensemble du monde vivant est indispensable à la vie de tous;Oui, tout à fait d'accord;Tout participe à la vie, c'est un ensemble;42;Féminin;2;France;France;7;Licence (bac+3);En activité;Plutôt de gauche;Non;Oui, mais pas entomologiste;Oui;Oui;LPO
3;337;8/25/2022 10:32:22;Diminue un peu;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;32;Féminin;1;France;France;5;Bac;En activité;Plutôt de gauche;Oui, directement;Non;Oui;Non;
3;338;8/25/2022 10:32:48;Diminue beaucoup;Oui, tout à fait d'accord;Il en va de la survie de la terre.;Oui, tout à fait d'accord;Ils sont beaux et utiles;50;Féminin;3;France ;France;6;Licence (bac+3);En activité;Plutôt de gauche;Non;Oui, mais pas entomologiste;Oui;Non;
3;339;8/25/2022 10:34:15;Diminue beaucoup;Oui, tout à fait d'accord;Il est indispensable de maintenir un taux de biodiversité maximal pour éviter que les déséquilibres environnementaux s'accentuent ;Oui, tout à fait d'accord;"Ils assurent la fécondation d'une grande partie des végétaux  ; les insectes prédateurs d'autres espèces permettent de limiter l'utilisation de produits chimiques ; ils assurent la dégraations de matières organiques qui finiraient par s'accumuler de façon trop importantes";63;Féminin;2;France;France;6;Licence (bac+3);Retraité;Plutôt de gauche;Non;Ornithologie en amatrice;Oui;Oui;"LPO ; ASPAS ; WWF ; Groupement Ornithologique et Naturaliste du Nord-Pas-de-Calais "
3;340;8/25/2022 10:35:39;Diminue un peu;Oui, tout à fait d'accord;Notre espèce est une forme de vivant parmi une multitude d'autres.;Oui, tout à fait d'accord;Pour les oiseaux, pour la destruction des déchets organiques, pour le pollen;56;Féminin;4;France ;France ;6;Master (bac+5);En activité;Plutôt de gauche;Non;J'ai acheté une parcelle agricole pour pour en faire un jardin sauvage ;Oui;Non;Prochainement LPO, à ce jour: refuge Groin Groin, association stérilisation des chats, refuge LPO mais pas encore adhérente en revanche 
