id;Q2;Q3;;;;;;;;;;;;;;
id_final;Pensez-vous que la biodiversité ait besoin d’être protégée ?;Pour quelles raisons pensez-vous cela ?;Q3_SERVICES_RESOURCES;Q3_INTERCONNECTED;Q3_HUMAN_PROTECTION;Q3_SPECIES_PROTECTION;Q3_THREATENED;Q3_RIGHT_TO_EXIST;Q3_HUMAN_RESPONSIBILITY;Q3_LIFE_PROTECTION;Q3_ECOSYSTEM_PROTECTION;Q3_BEAUTY;Q3_FUTURE_GENERATIONS;Q3_SADNESS;Q3_RESILIENCE;Q3_SPECIES_NOT_TO_PROTECT
39;Oui, tout à fait d'accord;"Chaque espèce a un rôle dans l'équilibre global. La disparition d'une d'entre elles peut compromettre irrémédiablement cet équilibre, ne pouvant être remplacée au ""pied levé"" par une autre.";0;1;0;0;0;0;0;1;0;0;0;0;0;0
40;Oui, tout à fait d'accord;conservation éco système et planète;0;0;0;0;0;0;0;1;1;0;0;0;0;0
41;Oui, tout à fait d'accord;La planète meurt!!!;0;0;0;0;1;0;0;1;0;0;0;0;0;0
42;Oui, tout à fait d'accord;Modifications importantes des écosystèmes lié au modifications climatiques;0;0;0;0;1;0;0;0;1;0;0;0;0;0
43;Oui, d'accord;Pour protéger la faune et la flore et notamment les espèces rares;0;0;0;1;0;0;0;0;0;1;0;0;0;0
44;Oui, d'accord;leur extinction est en corrélation avec nos agissements mais nous n'en sommes pas toujours conscients ! ;0;0;0;0;1;0;1;0;0;0;0;0;0;0
45;Oui, tout à fait d'accord;Elle contribue a l’équilibre de la biodiversité. Sans les insectes, c’est toute une chaîne qui est perturbée ;0;1;0;0;0;0;0;0;1;0;0;0;0;0
46;Oui, tout à fait d'accord;En raison du dérèglement climatique dû à l'Homme, et ses conséquences sur la Biodiversité;0;0;0;0;1;0;1;0;0;0;0;0;0;0
47;Oui, tout à fait d'accord;Équilibre des écosystèmes ;0;1;0;0;0;0;0;0;1;0;0;0;0;0
48;Oui, d'accord;assurer un équilibre entre les espèces;0;1;0;0;0;0;0;0;0;0;0;0;0;0
49;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;Oui, tout à fait d'accord;La biodiversité représente un équilibre, moins il y a de biodiversité et plus nous tendons vers un schéma de fonctionnement unique (climat, espèces, etc ...). Ce type de fonctionnement unique serait un gros frein à l'évolution de tous puisqu'il n'y aurait plus qu'un seul mode de pensée.;0;1;0;0;0;0;0;0;0;1;0;0;1;0
51;Oui, tout à fait d'accord;Toutes les espèces possèdent un lien entre elles. Si une espèce disparait d'autres s'en trouvent affectées.;0;1;0;1;0;0;0;0;0;0;0;0;0;0
52;Oui, tout à fait d'accord;Pour les raisons de sa disparition ;0;0;0;0;1;0;0;0;0;0;0;0;0;0
53;Oui, d'accord;préserver l'avenir;0;0;1;0;0;0;0;0;0;0;1;0;0;0
54;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Oui, d'accord;"car la position entre les différentes espèces et les humains n'est plus à l'équilibre, par ailleurs les inégalités entre les populations exacerbent la course aux ressources quelles que soient les méthodes auxquelles s'ajoutent également les limites technologiques.
=> Les écosystèmes en patissent";0;0;0;0;1;0;1;0;1;0;0;0;0;0
56;Oui, tout à fait d'accord;Déclin rapide des espèces, disparition de certaines d'entre elles, modification des habitats, réchauffement climatique...;0;0;0;0;1;0;1;0;0;0;0;0;0;0
57;Oui, d'accord;Préservation des écosystèmes (chaine alimentaire);0;1;0;0;0;0;0;0;1;0;0;0;0;0
58;Oui, tout à fait d'accord;La biodiversité participe à l'équilibre global planétaire et assure des fonctions essentielles à la survie humaine (nourriture, stockage carbone, production oxygène, épuration de l'eau, qualité de l'air...) ;1;1;1;0;0;0;0;1;0;0;0;0;0;0
59;Oui, tout à fait d'accord;pour pérenniser l'équilibre des biodiversités;0;1;0;0;0;0;0;0;1;0;0;0;0;0
60;Oui, tout à fait d'accord;sauvegarde de l'équilibre de la biodiversité;0;1;0;0;0;0;0;0;1;0;0;0;0;0
61;Ne sais pas;Je dirais qu'elle a besoin qu'on la laisse tranquille. ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;Oui, tout à fait d'accord;Parce que notre survie en dépend et parce que les sociétés humaine sont la cause majeure de la regression de la biodiversité (de manière directe ou indirecte);0;1;1;0;1;0;1;0;0;0;0;0;0;0
63;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;Oui, tout à fait d'accord;préserver les écosystèmes est nécessaire pour se préserver ;0;0;1;0;0;0;0;0;0;0;0;0;0;0
65;Oui, tout à fait d'accord;Pour des raisons éthiques et permettre la survie de l'être humain ;0;0;1;0;0;0;1;0;0;0;0;0;0;0
66;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;Oui, tout à fait d'accord;la Résilience;0;0;0;0;0;0;0;0;0;0;0;0;1;0
68;Oui, tout à fait d'accord;pour la qualité de vie sur le continent;0;0;1;0;0;0;0;0;0;0;0;0;0;0
69;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;Oui, d'accord;Déclin des espèces;0;0;0;0;1;0;0;0;0;0;0;0;0;0
71;Oui, tout à fait d'accord;En protégeant la Biodiversité, nous nous protégeons aussi car nous en faisons partie intégralement.;0;1;1;0;0;0;0;0;0;0;0;0;0;0
72;Oui, tout à fait d'accord;Car la Vie est (sans doute rare dans l'Univers, et que nous faisons partie intégrante de la biodiversité.;0;1;1;0;0;0;0;0;0;1;0;0;0;0
73;Oui, tout à fait d'accord;Valeur intrinsèque + services écosystémiques;1;0;0;0;0;1;0;0;0;0;0;0;0;0
74;Oui, tout à fait d'accord;Un écosystème ne peut pas fonctionner si on impacte l’échelle trophique.;0;1;0;0;0;0;0;0;1;0;0;0;0;0
75;Oui, tout à fait d'accord;"parce que la diversité est proportionnelle à la capacité de résistance et d'adaptation de la vie sur terre. parce que l'humain est tout puissant aujourd'hui sur terre. Mais on pourrait aussi considérer qu'il faille arrêter d'impacter la biodiversité, et qu'après elle se débrouillera toute seule
";0;0;0;0;0;0;1;0;0;0;0;0;1;0
76;Oui, d'accord;"il est nécessaire de conserver la biodiversité mais dans des conditions raisonnables ; une espèce protégée de façon générale mais qui pullule dans certains secteurs ne doit pas forcément l'être pour des raisons purement ""administratives""";0;1;0;0;0;0;0;0;0;0;0;0;0;1
77;Oui, tout à fait d'accord;"Pour éviter les pertes définitives d'espèces.
Tout en sachant que chaque espece à son rôle à jouer.";0;1;0;1;0;0;0;0;0;0;0;0;0;0
78;Non, pas d'accord;Je pense qu’elle nous protège aussi. L’idée que l’homme la protège me renvoie à la vision d’un homme ingénieur capable de comprendre tout le fonctionnement de la nature et de régler des paramètres. Je dirais plutôt que nous avons à nous connecter à elle pour nous y adapter, plutôt que de la « protéger ». De plus, si nous n’étions pas là, elle s’en sortirait sans doute mieux. En fait, nous nous protégeons de nous-mêmes.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;Oui, d'accord;j'ai remarqué des changements dans mon environnement depuis mon enfance , notamment en ce qui concerne les insectes ;0;0;0;0;1;0;0;0;0;0;0;0;0;0
80;Oui, tout à fait d'accord;Pour qu'elle puisse s'épanouir dans un milieu sans les pressions anthropiques, et qu'elle se rétablisse au mieux des effets néfastes des actions réalisées par le passé. ;0;0;0;0;1;0;1;0;1;0;0;0;0;0
81;Oui, tout à fait d'accord;c'est la base de la vie;0;1;0;0;0;0;0;1;0;0;0;0;0;0
82;Oui, tout à fait d'accord;Survie même de l'espèce humaine à long terme ( nourriture, médicaments, cadre de vie..) et respect pour la nature dans son ensemble et le patrimoine naturel remarquable ou non que nous nous devons de transmettre aux générations futures.;1;0;1;0;0;1;0;0;0;1;1;0;0;0
83;Oui, tout à fait d'accord;"Etant fils de paysans Lotois, je m'aperçois que depuis mon enfance, la population d'insectes a drastiquement baissé (papillons, gendarmes, punaises, abeilles .
A coté de mon travail, je m'occupe de plantations d'arbres et autres travaux à la ferme et je vigile depuis de nombreux années les insectes dans le sol et dans l'air. Les travaux d'été (foins etc) permettent de visualiser cette baisse chaque année, avant un seul passage dans un champ avec un tracteur faisait envoler des milliers d'insectes, maintenant à part la poussière rien ""ne décolle"".
Il y  a juste quelque chose que je n'arrive pas à expliquer, les papillons sont beaucoup moins nombreux pourtant les chenilles du début de saison sont inversement plus nombreuses, pourquoi ?
De plus, les hivers qui sont moins froid me montrent chaque année, que cette hausse de température hivernale, empêche le décès de nombreux ravageurs (liodes, chenilles…)";0;0;0;0;1;0;0;0;0;0;0;0;0;0
84;Oui, tout à fait d'accord;Le climat modifié d'aujourd'hui perturbe l'écosystème et les habitudes des espèces. Certaines se retrouvent en extinction, il est nécessaire de protéger certaines zones, et espèces afin qu'elle puisse se développer de nouveau. Le climat apporte aussi à certaines espèces des prédateurs qu'elles n'avaient pas auparavant. ;0;0;0;1;1;0;0;0;0;0;0;0;0;1
85;Oui, tout à fait d'accord;il y va de notre survie également...;0;0;1;0;0;0;0;0;0;0;0;0;0;0
86;Oui, tout à fait d'accord;Pour sa beauté, pour son droit d'exister et de ne pas être détruite par une puissance qu'elle n'arrive pas à combattre (l'Homme), pour son utilité dans nos vies (santé, matériaux, loisirs,..);1;0;0;0;0;1;1;0;0;1;0;0;0;0
87;Oui, tout à fait d'accord;Pour préserver les écosystèmes, la faune et la flore affiliées, qui sont liés à l'équilibre et au maintient des sociétés humaines et des êtres vivants en général. ;0;1;1;1;0;0;0;0;1;0;0;0;0;0
88;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;Oui, tout à fait d'accord;Afin d’endiguer sa disparition drastique suite aux activités anthropiques ;0;0;0;0;1;0;1;0;1;0;0;0;0;0
91;Oui, tout à fait d'accord;Protection de notre avenir et celui de nos enfants;0;0;1;0;0;0;0;0;0;0;1;0;0;0
92;Oui, tout à fait d'accord;Indispensable à la vie humaine + magnifique et fantastique ;0;0;1;0;0;0;0;0;0;1;0;0;0;0
93;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;Oui, tout à fait d'accord;L'impact de l'activité humaine est de plus en plus néfaste pour les espèces;0;0;0;0;1;0;1;0;0;0;0;0;0;0
95;Oui, tout à fait d'accord;Pour la survie de l'humanité et du règne animal dans son ensemble.;0;0;1;1;0;0;0;0;0;0;0;0;0;0
96;Oui, tout à fait d'accord;Elle est clairement en danger, il y a moins d'espèce faune et flore confondues;0;0;0;0;1;0;0;0;0;0;0;0;0;0
97;Oui, tout à fait d'accord;DANS LE BUT DE GARDER UN NIVEAU DE VIE ACCEPTABLE SUR TERRE;0;0;1;0;0;0;0;0;0;0;0;0;0;0
98;Oui, tout à fait d'accord;C'est le coeur de la vie sur terre (pas de pollinisation= pas de fruits/légumes par exemple);1;0;0;0;0;0;0;1;0;0;0;0;0;0
99;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;Oui, tout à fait d'accord;La protection de la biodiversité est censée tendre vers le retour à un équilibre au sein des chaînes trophiques ;0;1;0;0;0;0;0;0;1;0;0;0;0;0
101;Oui, tout à fait d'accord;parce qu'elle est essentielle à notre survie et que de par sa simple existence elle est par nature importante;0;0;1;0;0;1;0;0;0;0;0;0;0;0
102;Oui, tout à fait d'accord;Les activités humaines ne sont pas pensées pour être intégrées aux écosystèmes, et donc  prendre en compte le Vivant (faune et flore) et les grands cycles : eau, minéral...;0;0;0;0;0;0;1;1;0;0;0;0;0;0
103;Oui, tout à fait d'accord;Pour un meilleur équilibre de la vie, pour permettre une meilleure résilience des territoires et même limiter les phénomènes naturels extrêmes (inondations, sècheresse, incendies etc.);0;1;1;0;0;0;0;0;0;0;0;0;0;0
104;Oui, tout à fait d'accord;La diversité est source d'inspiration et de potentielle résilience, ;0;0;0;0;0;0;0;0;0;1;0;0;1;0
105;Oui, tout à fait d'accord;sans contraintes et obligation les velléités économiques sont sans limites ;0;0;0;0;0;0;1;0;0;0;0;0;0;0
106;Oui, d'accord;plus que des quantités d'espèces ou d'espaces naturels, ce sont les équilibres et les relations qui doivent être protégés ainsi que la diversité des formes et organisations du vivant ;0;1;0;0;0;0;0;0;0;0;0;0;0;0
107;Oui, tout à fait d'accord;l'équilibre de la planète;0;1;0;0;0;0;0;1;0;0;0;0;0;0
108;Oui, tout à fait d'accord;Les espèces n'ont pas mis plusieurs milliards d'années pour apparaitre, évoluer, s'adapter... pour disparaitre en quelques dizaines d'années.  A cause d'une seule espèce, soit disant la plus intelligente. C'est triste de penser qu'on cause plus de dégâts qu'une météorite. L'espèce humaine est menacée sur le long terme, car elle fait partie de la biodiversité, elle en a besoin. A plus court terme, on perd la beauté et le mystère de notre monde. Et à titre personnel, je m'inquiète pour mes enfants.;0;1;1;1;1;0;1;0;0;1;1;1;0;0
109;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
110;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;Oui, tout à fait d'accord;C'est une question d'équilibre donc de survie;0;1;1;0;0;0;0;0;0;0;0;0;0;0
112;Oui, tout à fait d'accord;L'impact des activités humaines semblent jouer un rôle important dans la diminution de la biodiversité car elles impacts différents écosystème. Il ne s'agit d'une part de sanctuariser certains espaces naturels et d'autre part réduire l'impact du développement humain sur la biodiversité. ;0;0;0;0;1;0;1;0;1;0;0;0;0;0
113;Oui, tout à fait d'accord;Pour préserver la richesse de la vie sur terre;0;0;0;0;0;0;0;1;0;1;0;0;0;0
114;Oui, tout à fait d'accord;Sinon il n'y aura bientot plus de diversité;0;0;0;0;1;0;0;0;1;1;0;0;0;0
115;Oui, tout à fait d'accord;La chute de la biodiversité est un catastrophe majeure. Je pense que la biodiversité doit être protégée et restaurée. ;0;0;0;0;1;0;0;0;1;0;0;0;0;0
116;Oui, tout à fait d'accord;Sans biodiversité, pas de vie. Notre corps même a sa propre biodiversité ;0;0;0;0;0;0;0;1;0;0;0;0;0;0
117;Oui, tout à fait d'accord;car la biodiversité est essentielle pour le maintient de la vie sur terre via le bon fonctionnement des écosystèmes;0;0;0;0;0;0;0;1;0;0;0;0;0;0
118;Oui, tout à fait d'accord;c'est la vie et notre avenir ;0;0;1;0;0;0;0;0;0;0;0;0;0;0
119;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
120;Oui, d'accord;"Préserver nos écosystèmes et leurs futurs ""après nous""";0;0;0;0;0;0;0;0;1;0;0;0;0;0
121;Oui, tout à fait d'accord;Les impacts du réchauffement climatique sont à ce jour clairement visible sur la santé humaine et sur notre quotidien, ce qui pousse les populations même moins sensibilisées à agir de plus en plus pour limiter le phénomène. A l'inverse, les impacts du déclin de la biodiversité n'a pas réellement d'impact visible sur le quotidien des hommes, qui commencent tout juste à apprendre l'existence des services ecosystemiques qui y sont liés. Il est donc nécessaire d'imposer la protection de la biodiversité pour faire prendre conscience aux non sachants de son importance. Nous ne pouvons pas attendre que la population (habitants, entreprises..) prenne l'initiative d'elle même de protéger la biodiversité car cela prendra malheureusement (tout comme pour la prise de conscience du réchauffement climatique) trop de temps. A l'heure de la 6e extinction de masse, nous n'avons plus de temps. ;1;0;0;0;1;0;1;0;0;0;0;0;0;0
122;Oui, tout à fait d'accord;Car toutes les espèces sont reliées, plusieurs d'entre elles sont dites espèces clés.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
123;Oui, tout à fait d'accord;Les activités anthropiques dégradent la biodiversité (agriculture, urbanisation, extraction de ressources, pollution…);0;0;0;0;1;0;1;0;0;0;0;0;0;0
124;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;Oui, tout à fait d'accord;essentielle pour la prospérité de l'humanité;0;0;1;0;0;0;0;0;0;0;0;0;0;0
127;Oui, d'accord;"Certaines espèces, qui jouent un rôle essentiel pour l'être humain (de manière plus ou moins directe : alimentation, dépollution, production de dioxygène, éco-tourisme...), mériteraient d'être protégés.
Les autres, si elles ne sont pas importantes pour le maintien des premières, ne devraient être protégées que de manière secondaire, voire pas du tout.";1;0;1;0;0;0;0;0;0;0;0;0;0;1
128;Oui, tout à fait d'accord;Patrimoine, stabilité des habitats, qualité de vie;1;0;1;0;0;0;0;0;0;1;0;0;0;0
129;Oui, d'accord;risque de déséquilibre dans les écosystèmes qui crée des problèmes ( pas assez de de prédateurs donc trop de rongeurs, donc plus de dégâts sur les les récoltes céréalières etc) ;0;1;1;0;0;0;0;0;0;0;0;0;0;1
130;Oui, d'accord;Parce que la vie est belel sous toutes ses formes et elle nous est nécessaire, je pense en particulier aux abeilles;0;1;1;0;0;0;0;0;0;1;0;0;0;0
131;Oui, tout à fait d'accord;Parce qu'elle est essentielle à nos vies;0;0;1;0;0;0;0;0;0;0;0;0;0;0
132;Oui, tout à fait d'accord;"La biodiversité est essentielle au bon fonctionnement de la Terre comme nous la connaissons aujourd'hui. Elle participe à contrer le réchauffement climatique que nous subissons
Nous sommes responsables de la 6ème extinction de masse, c'est à nous d'agir en conséquence";0;1;0;0;1;0;1;1;0;0;0;0;0;0
133;Oui, tout à fait d'accord;Préservation du patrimoine naturel et des fonctions écologiques;1;0;0;0;0;0;0;0;0;1;0;0;0;0
134;Oui, tout à fait d'accord;Socle de vie sur terre;0;0;0;0;0;0;0;1;0;0;0;0;0;0
135;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
136;Oui, tout à fait d'accord;Préservation du vivant, interdépendance des êtres vivants entre eux, perte de connaissances pour le futur (on est loin de tout savoir du vivant);0;1;0;0;0;0;0;1;0;1;0;0;0;0
137;Oui, tout à fait d'accord;Nous faisons partie de cette biodiversité, de ses écosystèmes. Donc a minima, pour ceux qui n'ont pas d'empathie pour le reste du vivant, la protection de cette biodiversité relevé de notre propre protection (survie).;0;1;1;0;0;0;0;0;0;0;0;0;0;0
138;Oui, tout à fait d'accord;Il en va de notre survie ;0;0;1;0;0;0;0;0;0;0;0;0;0;0
139;Oui, tout à fait d'accord;nécessaire protection du vivant pour réparer les méfaits des Hommes;0;0;0;0;1;0;1;0;0;0;0;0;0;0
140;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
141;Oui, tout à fait d'accord;"l'extinction de certaines espèce. 
beaucoup d'espèces menacées. ";0;0;0;1;1;0;0;0;0;0;0;0;0;0
142;Oui, tout à fait d'accord;les activités humaines ont un impact sur la biodiversité. Il faut essayer de  minimiser ces impacts et donc protéger la biodiversité;0;0;0;0;1;0;1;0;1;0;0;0;0;0
143;Oui, d'accord;Les modifications (changement climatique, disparition des espèces) sont accrues par l'action de l'humain, qui doit donc gérer sa part de responsabilité dans ces processus.;0;0;0;0;1;0;1;0;0;0;0;0;0;0
144;Oui, tout à fait d'accord;En raison des nombreux cris d'alerte des scientifiques sur le sujet qui mettent en cause notre impact sur la biodiversité;0;0;0;0;1;0;1;0;0;0;0;0;0;0
145;Oui, tout à fait d'accord;Espèce dominante, et intelligente (?) l'être humain a le devoir de protéger la planète, sa faune, sa flore, plutôt que de continuer à la détruire.  ;0;0;0;0;0;0;1;0;0;0;0;0;0;0
146;Oui, tout à fait d'accord;A l'inverse, permet de lutter contre la banalisation des paysages, l'appauvrissement des milieux, des paysages, de l'imaginaire, et la vulnérabilité de milieux appauvris face par ex. aux maladies cryptogamiques, autres (ex. d'un alignement de platanes atteint d'une même maladie se propageant très vite sans cette biodiversité);0;0;0;0;0;0;0;0;0;1;0;0;1;0
147;Oui, tout à fait d'accord;C'est important de préserver la biodiversité et les différentes espéces;0;0;0;1;0;0;0;0;1;0;0;0;0;0
148;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
149;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
150;Oui, tout à fait d'accord;Pour la préservation de nos écosystèmes.;0;0;0;0;0;0;0;0;1;0;0;0;0;0
151;Oui, tout à fait d'accord;"La vie disparait sur Terre, du fait des activités humaines inconsidérées.
Et la vitesse de disparition est aujourd'hui terrifiante. Au-delà des espèces ou des espaces, ce sont les fonctionnalités écologiques, les services écosystémiques qu'il faut protéger.
En somme, défendre le bien commun pour l'humanité et le reste du vivant.";1;0;1;0;1;0;1;1;0;0;0;0;0;0
152;Oui, tout à fait d'accord;Elle est indispensable à la vie et au maintien des écosystèmes ;0;0;0;0;0;0;0;1;1;0;0;0;0;0
153;Oui, tout à fait d'accord;C'est ce qu'il y a de plus précieux.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
154;Oui, tout à fait d'accord;Parce que toutes les espèces ont le droit de vivre sur cette planète, et que toutes les espèces vivantes sont interdépendances les unes des autres ;0;1;0;0;0;1;0;0;0;0;0;0;0;0
155;Oui, tout à fait d'accord;L'homme fait partie de la biodiversité et à ce titre, les sociétés humaines s'appuient sur elle;0;1;1;0;0;0;0;0;0;0;0;0;0;0
